park_id,img_url
164,/parks/parks/images/hillcrest03.jpg
165,/parks/parks/images/natbailey01.jpg
166,/parks/parks/images/princeedward02.jpg
167,/parks/parks/images/queenelizabeth03.JPG
168,/parks/parks/images/riley03.jpg
169,/parks/parks/images/angus02.jpg
170,/parks/parks/images/devonshire02.jpg
171,/parks/parks/images/kerrisdale02.jpg
172,/parks/parks/images/shaughnessy02.jpg
173,/parks/parks/images/vandusen02.JPG
174,/parks/parks/images/braemar02.jpg
175,/parks/parks/images/douglas03.jpg
177,/parks/parks/images/heather02.jpg
179,/parks/parks/images/maclean02.jpg
180,/parks/parks/images/oppenheimer04.jpg
181,/parks/parks/images/strathcona04.jpg
182,/parks/parks/images/strathlinear03.jpg
183,/parks/parks/images/thornton03.jpg
184,/parks/parks/images/george03.jpg
185,/parks/parks/images/macdonald03.jpg
186,/parks/parks/images/memorialsouth08.jpg
187,/parks/parks/images/moberly03.jpg
188,/parks/parks/images/ross03.jpg
189,/parks/parks/images/sunset03.jpg
191,/parks/parks/images/bobolink02.jpg
192,/parks/parks/images/fraserview02.jpg
193,/parks/parks/images/gladstone02.jpg
194,/parks/parks/images/gordon03.jpg
195,/parks/parks/images/humm02.jpg
196,/parks/parks/images/nanaimo03.jpg
197,/parks/parks/images/riverfront04.jpg
198,/parks/parks/images/tecumseh04.jpg
199,/parks/parks/images/alexandra04.jpg
200,/parks/parks/images/barclay04.jpg
201,/parks/parks/images/englishbaybeach04.jpg
202,/parks/parks/images/morton02.jpg
203,/parks/parks/images/nelson02.jpg
204,/parks/parks/images/rosemont02.jpg
206,/parks/parks/images/stanley04.jpg
207,/parks/parks/images/sunsetbeach04.jpg
208,/parks/parks/images/rosemarybrown03.jpg
209,/parks/parks/images/langara01.jpg
212,/parks/parks/images/sahalli03.jpg
213,/parks/parks/images/shaughnsesyparksite03.jpg
217,/parks/parks/images/hastingsmill02.jpg
218,/parks/parks/images/jerichobeach04.jpg
219,/parks/parks/images/locarno03.jpg
220,/parks/parks/images/spanishbank03.jpg
221,/parks/parks/images/westpointgrey03.jpg
222,/parks/parks/images/westmount02.jpg
224,/parks/parks/images/choklit03.jpg
225,/parks/parks/images/georgewainborn04.jpg
228,/parks/parks/images/oakmeadow06.jpg
233,/parks/parks/images/arbutusgreenway04.jpg
234,/parks/parks/images/aberdeen03.jpg
236,/parks/parks/images/ebisu07.jpg
237,/parks/parks/images/Yaletown04.jpg
238,/parks/parks/images/carolina01.jpg
240,/parks/parks/images/hinge03.jpg
241,/parks/parks/images/habitatisland02.jpg
244,/parks/parks/images/fraserrivertrail03.jpg
